#timestep time dt l2_rho l2_rho_v1 l2_rho_v2 l2_rho_e_total linf_rho linf_rho_v1 linf_rho_v2 linf_rho_e_total cons_rho cons_rho_v1 cons_rho_v2 cons_rho_e_total dsdu_ut 
100 4.448258296916497 0.04878425388872688 2.3800461206556316e-5 2.5306846863841136e-5 2.5306845569737094e-5 5.509274981577783e-5 7.853028139592766e-5 8.292087552419503e-5 8.292087593786412e-5 0.00017765050413842687 3.352873534367973e-14 3.197442310920451e-14 3.419486915845482e-14 6.572520305780927e-14 8.022968529958316e-7
110 4.883888166425251 0.03604408949745117 2.013659646468579e-5 1.464312302221255e-5 1.4643123018277192e-5 2.8280389463737445e-5 8.791714242373239e-5 6.945562072702138e-5 6.945562088955803e-5 0.00011928826025231487 3.597122599785507e-14 3.6193270602780103e-14 3.730349362740526e-14 5.773159728050814e-14 -6.279826277952982e-7
120 5.333781803271379 0.048466877049331517 2.0931136333033967e-5 1.7180023064673443e-5 1.7180023095544227e-5 3.614686000147214e-5 0.0001084152289094753 7.509917192782822e-5 7.509916999737243e-5 0.0001628130487389967 4.1300296516055823e-14 3.930189507173054e-14 3.907985046680551e-14 7.815970093361102e-14 5.19222245034006e-7
130 5.762481357535919 0.03671609083986087 2.0083188455995025e-5 1.4819743895545073e-5 1.481974389492005e-5 3.021581392056458e-5 0.00010986710385108012 7.881441076706963e-5 7.881441092294494e-5 0.00018058178668578506 4.1744385725905886e-14 4.107825191113079e-14 4.39648317751562e-14 8.526512829121202e-14 -1.0876339738415754e-6
140 6.206172067249317 0.050688760445702696 2.0462851718634925e-5 1.5271748116530337e-5 1.5271748116629494e-5 3.0942098877401624e-5 0.00012499856117487163 7.12375970848278e-5 7.123759488836257e-5 0.00014798889497269485 4.907185768843192e-14 4.8627768478581856e-14 5.062616992290714e-14 9.947598300641403e-14 9.900600351737544e-7
150 6.65888302597038 0.039652429204884196 2.2878643300166314e-5 2.096665137102134e-5 2.0966651452295112e-5 4.3841370542191625e-5 8.155720667479827e-5 9.652323715281241e-5 9.652326770615005e-5 0.00022146382814502985 5.062616992290714e-14 5.240252676230739e-14 5.284661597215745e-14 9.85878045867139e-14 -4.734996585510551e-7
160 7.09335932340246 0.038918684280058555 2.133021881343429e-5 1.559721980873027e-5 1.5597219803788143e-5 2.884796937503774e-5 0.00010398417230761403 7.759792158745782e-5 7.759791827632867e-5 0.0001342959314465375 5.1958437552457326e-14 5.5289106626332796e-14 5.5289106626332796e-14 1.0036416142611415e-13 4.0670557693471924e-7
170 7.547726009292211 0.053761518268585134 2.286862535123186e-5 1.964749562963783e-5 1.9647495629133787e-5 3.9791248861294106e-5 0.00013738103362648246 0.00010548088403172784 0.00010548088469830574 0.00019182541182516388 5.773159728050814e-14 5.46229728115577e-14 5.417888360170764e-14 1.0746958878371515e-13 -6.358255257917268e-7
180 7.97315106422699 0.04015249384518992 2.2063367655078936e-5 1.7269720190603917e-5 1.7269720192629695e-5 3.341996859429884e-5 0.00010393722364221425 8.299775196496384e-5 8.299774579390018e-5 0.00011957040427823529 5.972999872483342e-14 5.773159728050814e-14 6.417089082333405e-14 1.1013412404281553e-13 8.91482024765228e-8
190 8.407112465752657 0.05116520674543263 2.151188544530295e-5 1.5699637680092917e-5 1.5699637678530805e-5 2.9406089250181264e-5 8.919805203433384e-5 8.47441563596174e-5 8.474415759729403e-5 0.00018966144153997888 6.017408793468348e-14 5.995204332975845e-14 6.572520305780927e-14 1.1812772982011666e-13 5.11429682901873e-7
200 8.85564002490749 0.04124156862361476 2.275626821128612e-5 1.914744469383414e-5 1.914744467313449e-5 3.8026035652592937e-5 9.795239829157865e-5 8.952471462064793e-5 8.952472043466386e-5 0.00020506583678248091 6.94999613415348e-14 6.572520305780927e-14 6.905587213168474e-14 1.341149413747189e-13 -2.3320379178339498e-7
210 9.286411099225834 0.04426594507444854 2.185933358233366e-5 1.5941175079145255e-5 1.5941175077380475e-5 2.9382276981156992e-5 0.00011298241781965146 9.218023951396148e-5 9.218024071167008e-5 0.00015354716550053382 7.127631818093505e-14 7.149836278586008e-14 7.216449660063518e-14 1.4210854715202004e-13 3.1561389599495973e-7
220 9.740049052176332 0.04748037831767913 2.480533118660166e-5 2.3852155685048395e-5 2.385215569220417e-5 4.95353091502268e-5 0.00013857620058210784 9.216623932184476e-5 9.216623942398527e-5 0.0001931657788203367 7.815970093361102e-14 7.571721027943568e-14 7.838174553853605e-14 1.4654943925052066e-13 -8.987532733459553e-7
226 10.0 0.04572332530697132 2.2077959271624325e-5 1.6169101600892068e-5 1.6169101595019046e-5 2.9333190984106542e-5 0.0001164260376786963 8.845150023750747e-5 8.845150418901326e-5 0.00012445568856778166 7.30526750203353e-14 7.438494264988549e-14 7.638334409421077e-14 1.438849039914203e-13 4.374746046608367e-7
