#timestep time dt l2_rho l2_rho_v1 l2_rho_v2 l2_rho_e_total linf_rho linf_rho_v1 linf_rho_v2 linf_rho_e_total cons_rho cons_rho_v1 cons_rho_v2 cons_rho_e_total dsdu_ut 
100 4.425480004415189 0.0372047219530887 8.584355325890294e-6 6.792521570467912e-6 6.792521570345994e-6 8.783961947969165e-6 5.734670981016876e-5 4.492061673877501e-5 4.4920619183264066e-5 3.897473475422686e-5 2.3092638912203256e-14 2.842170943040401e-14 2.708944180085382e-14 7.37188088351104e-14 9.429030738300571e-7
110 4.889250050734953 0.051065726932917915 1.0671138515957954e-5 1.0594067279675689e-5 1.0594067455438696e-5 1.843947943975682e-5 6.0921661205082245e-5 5.1338921566168594e-5 5.1338926907895654e-5 7.097697101787759e-5 3.2862601528904634e-14 3.3084646133829665e-14 3.219646771412954e-14 7.283063041541027e-14 -7.586884721199108e-7
120 5.323328709038135 0.03731447521093737 9.752650949150927e-6 7.796528645225668e-6 7.796528638016623e-6 9.58150227333867e-6 4.985619645858641e-5 4.9616761413462385e-5 4.961676548398408e-5 4.051731322274321e-5 3.397282455352979e-14 3.952393967665557e-14 3.530509218307998e-14 8.881784197001252e-14 7.277958794088001e-7
130 5.756955443002693 0.03818585524697557 9.87517869473099e-6 8.06710628614569e-6 8.067106288120613e-6 9.673215881625033e-6 4.96367151627819e-5 4.683773119018575e-5 4.68377359768013e-5 3.6005945001083006e-5 4.0190073491430667e-14 3.108624468950438e-14 4.196643033083092e-14 8.526512829121202e-14 -1.3637970656181522e-6
140 6.204396399724245 0.04850993680705565 1.0647359530887463e-5 9.145013893739869e-6 9.145013892411394e-6 1.315174528645331e-5 5.7056619720441404e-5 5.5247040409378556e-5 5.524703785630969e-5 4.6464947947022495e-5 4.39648317751562e-14 4.374278717023117e-14 4.241051954068098e-14 1.0391687510491465e-13 1.1950285437757122e-6
150 6.638812888116121 0.038834600695859534 1.0796901829171654e-5 9.265494687833145e-6 9.265494659299306e-6 1.2698572575091321e-5 8.199850970136424e-5 6.392677289013271e-5 6.392677315414375e-5 5.2582028934988756e-5 4.796163466380676e-14 4.1744385725905886e-14 5.1958437552457326e-14 1.0835776720341528e-13 -6.411935270710981e-7
160 7.082376444042033 0.044125433927176584 1.0887209286559333e-5 8.958093398288079e-6 8.958093389197059e-6 1.053214322721276e-5 8.653118791634995e-5 6.59700457934509e-5 6.597004493680281e-5 5.7081388569191205e-5 4.796163466380676e-14 5.0182080713057076e-14 4.8183679268731794e-14 1.1723955140041653e-13 4.963385287330289e-7
170 7.516517969705665 0.042525098527370776 1.1922962543329325e-5 1.1632179034731203e-5 1.1632179039966532e-5 2.044027000178129e-5 6.836670125442978e-5 5.6193815535676706e-5 5.619381024146719e-5 8.725505859352722e-5 5.551115123125783e-14 5.440092820663267e-14 5.10702591327572e-14 1.1901590823981678e-13 -5.461772313919849e-7
180 7.934310780174361 0.04139214223953916 1.1164918311539292e-5 9.173640025760052e-6 9.173640024506761e-6 1.0558276944085104e-5 6.38475368661684e-5 6.464618906032449e-5 6.464619535684335e-5 5.592117389063844e-5 5.573319583618286e-14 5.88418203051333e-14 5.639932965095795e-14 1.3322676295501878e-13 -1.2986885653720176e-7
190 8.36530519945585 0.04368915257786501 1.2200567706637964e-5 1.1943222578682367e-5 1.1943222596951402e-5 2.101425864572887e-5 7.678260257004688e-5 6.400730157030132e-5 6.400730132938293e-5 9.32570902634211e-5 6.128431095930864e-14 6.505906924303417e-14 6.195044477408373e-14 1.3233858453531866e-13 7.030595132158046e-7
200 8.78559197516269 0.04071264533278976 1.150921695608265e-5 9.652669909547342e-6 9.65266991219747e-6 1.1130827255076268e-5 6.067076021354367e-5 5.9265003463648824e-5 5.926500049846517e-5 5.339775910195854e-5 6.195044477408373e-14 6.994405055138486e-14 6.816769371198461e-14 1.4299672557172016e-13 -5.846569692918305e-7
210 9.221691280222094 0.04471457133026844 1.2613762242596633e-5 1.2396830287290757e-5 1.2396830307022106e-5 2.1773731676850167e-5 5.857420626886878e-5 5.772122859060147e-5 5.7721231786267424e-5 8.366803246939725e-5 6.816769371198461e-14 6.727951529228449e-14 6.794564910705958e-14 1.5720758028692217e-13 6.784822326341442e-7
220 9.639894887632055 0.0394686097036142 1.1447229592773235e-5 9.430720827123808e-6 9.430720823098458e-6 1.0497573758752997e-5 6.305721126587116e-5 5.749786831854564e-5 5.749786835806958e-5 4.211051111324693e-5 7.105427357601002e-14 7.149836278586008e-14 7.394085344003543e-14 1.5898393712632242e-13 -1.206191735696332e-6
229 10.0 0.020181866674409576 1.1607299236286856e-5 9.467837467931782e-6 9.467837468862608e-6 1.0552681046504524e-5 8.00090997432612e-5 6.689954168814793e-5 6.689954834815381e-5 5.5231521782772575e-5 7.482903185973555e-14 7.72715225139109e-14 7.327471962526033e-14 1.7053025658242404e-13 5.756625479657929e-7
