#timestep time dt l2_scalar linf_scalar cons_scalar dsdu_ut 
0 0.0 1.0 5.75134288762094e-18 8.326672684688674e-17 0.0 -6.334047771591939e-17
10 0.29546696767416053 0.027923650394862883 0.0012368043527681229 0.006114221486714325 7.216449660063518e-16 -1.369966434447813e-5
20 0.5702791375656964 0.027286388751660957 0.0012982515434184774 0.007391489520665595 1.2212453270876722e-15 -1.351924022717152e-5
30 0.8426029895364737 0.02721214707696792 0.0014567604955881758 0.008785801960687234 1.7208456881689926e-15 -1.6850897448410904e-5
40 1.11465311476905 0.027211882323911352 0.0013899389114044316 0.006319284052238694 2.3869795029440866e-15 -1.834392873186508e-5
50 1.3867378194530993 0.027214950451267143 0.0013592104399010282 0.006015651800239108 2.6645352591003757e-15 -1.811746744973322e-5
60 1.6588981020849316 0.027216358150025887 0.001289502152650567 0.004944087584408563 3.219646771412954e-15 -1.45130266095677e-5
70 1.9311470355272842 0.027223986296642525 0.0013742698101916282 0.007070201835672196 3.608224830031759e-15 -1.3357067015387163e-5
80 2.2034879596840384 0.027237168601589846 0.0015164499853347342 0.0077341537635453594 4.3298697960381105e-15 -1.4297646601360727e-5
90 2.4759203792418765 0.027250143726020085 0.0015942128841781836 0.007247282102505248 4.6074255521944e-15 -1.752235209825058e-5
100 2.7484381720120767 0.027258875132027637 0.001621972719788858 0.006975357232787083 5.384581669432009e-15 -1.8230565982508737e-5
110 3.021039528066711 0.02726402575137393 0.0015527404525926102 0.006574026317341386 5.717648576819556e-15 -1.642640155566083e-5
120 3.2937231997193797 0.027269312305172155 0.0015945141412409582 0.005960610955750734 6.161737786669619e-15 -1.3674538905884305e-5
130 3.5664946146727607 0.027279591752268215 0.0016801407024842412 0.007025267159937787 6.661338147750939e-15 -1.3319302955217688e-5
140 3.839351896417985 0.02729020930173518 0.0018391897952968785 0.007104710606514408 7.105427357601002e-15 -1.5658594556088876e-5
150 4.112293650224134 0.027299180973236963 0.0019037543619443464 0.007570089848603079 7.494005416219807e-15 -1.744895976649657e-5
160 4.385316845948385 0.027306693467140472 0.001916339166368643 0.007861527154915504 8.215650382226158e-15 -1.703765648846528e-5
170 4.658421530242748 0.027313415066164536 0.0019068074565808757 0.0064582897424633745 8.1601392309949e-15 -1.4397288834759256e-5
180 4.931609406431873 0.027322263439255007 0.001965164196548869 0.007107097641515403 9.103828801926284e-15 -1.3236117281304507e-5
190 5.2048790550954935 0.027331031483417458 0.0021083193489380217 0.006950935275486514 9.825473767932635e-15 -1.4389648996663675e-5
200 5.478229701590252 0.02733830014802585 0.0022135836436475245 0.007826916662608041 1.0103029524088925e-14 -1.66983303120918e-5
210 5.751660085288048 0.02734610549791187 0.00227286717322837 0.008867629478954697 1.0602629885170245e-14 -1.7021722913613396e-5
220 6.02517099001034 0.02735468757606514 0.0022561826446017594 0.00793550183159425 1.1268763699945339e-14 -1.5131302893472683e-5
230 6.29876301249611 0.027363665586635093 0.0023024070239646512 0.0071571375499797085 1.149080830487037e-14 -1.334126042795876e-5
240 6.5724341171840175 0.027371976365380336 0.0024032653834252277 0.006997768904000612 1.199040866595169e-14 -1.3717571736932e-5
250 6.846181782189519 0.027377235317009276 0.002541552782856474 0.007821739838009267 1.2323475573339238e-14 -1.5804287493573503e-5
