#timestep time dt l2_scalar linf_scalar cons_scalar dsdu_ut 
610 16.635020921752783 0.027188566992984296 0.0007173813686181157 0.0018083803852826374 3.3639757646142243e-14 -1.7726043327268015e-7
620 16.906823310334104 0.027180948715259088 0.000726681838409313 0.0019117662992450546 3.447242491461111e-14 -1.529408779499956e-7
630 17.17862041337379 0.027173012968411375 0.0007384236448046025 0.0018917590161749986 3.497202527569243e-14 -1.3216862468231372e-7
640 17.45042106103545 0.027173221346569448 0.0007501178128561759 0.0020890649060850697 3.5360603334311236e-14 -1.3432493389635425e-7
650 17.722228958822242 0.02718101881190744 0.000762899646480949 0.002272749043355393 3.6193270602780103e-14 -1.6005985520447727e-7
660 17.99404516079897 0.027188992151815417 0.0007726918252189065 0.002250441024474026 3.658184866139891e-14 -1.784987586804253e-7
670 18.26586056572582 0.02718823454960677 0.0007832079491609352 0.0019057459071455396 3.708144902248023e-14 -1.724027607246173e-7
680 18.537669872914453 0.02717944739222065 0.000792732443900183 0.0020894821585910606 3.7636560534792807e-14 -1.4628606782862708e-7
690 18.809476295400035 0.02717301293239699 0.000804717233547188 0.0021227464762351156 3.83026943495679e-14 -1.297579291138304e-7
700 19.081286543213242 0.027175499698603195 0.0008167285532297088 0.002255899899561542 3.863576125695545e-14 -1.4009264617729535e-7
710 19.35310617321981 0.027184201105626218 0.0008286163535087236 0.002436383761657668 3.9190872769268026e-14 -1.6585537071425044e-7
720 19.62493069439568 0.02719058073240812 0.0008391722209929607 0.0022895174266623908 3.9690473130349346e-14 -1.8032793105624e-7
730 19.89675409256073 0.027187503652754942 0.0008486979481601259 0.002124488339208974 4.035660694512444e-14 -1.662079790189967e-7
740 20.168570029983815 0.027177924800084744 0.0008595654654701911 0.0022779725560299058 4.0745185003743245e-14 -1.4148081181604191e-7
750 20.440385458336316 0.027173712579384238 0.0008706235740915129 0.0023297460065371256 4.1522341120980855e-14 -1.2886913068783923e-7
760 20.71220603698658 0.027178016197080122 0.0008834046926713654 0.0024350954549943182 4.191091917959966e-14 -1.464708438707503e-7
770 20.984035675571445 0.027187299572630715 0.0008941458179926585 0.002585560191207925 4.235500838944972e-14 -1.699683323062378e-7
780 21.255869171717283 0.027191522835897194 0.0009052408596332336 0.0023292839869495374 4.3076653355456074e-14 -1.794770778183307e-7
790 21.52769834590157 0.02718621047957525 0.0009146577614813139 0.0023470761451480637 4.3520742565306136e-14 -1.594512546781654e-7
800 21.799522282134276 0.027177021596963453 0.0009258005336507621 0.0023324960586788013 4.4297898682543746e-14 -1.3567924268880562e-7
810 22.071345632644626 0.02717473146410723 0.0009372967879604879 0.002506457042557142 4.474198789239381e-14 -1.311053296264e-7
820 22.34317698843129 0.02718099695962975 0.0009495511545211276 0.0026698756603789064 4.529709940470639e-14 -1.5244248523747783e-7
830 22.61501576123644 0.027189868729793218 0.0009608936756553051 0.0027102895781180303 4.590772206825022e-14 -1.764165305940396e-7
840 22.886857186242544 0.027192015069845844 0.0009709345888746058 0.0023135450922054934 4.6407322429331543e-14 -1.7601394654979677e-7
850 23.158692258909173 0.027184436809031813 0.0009813145978728093 0.002599882400932896 4.696243394164412e-14 -1.5411141288118217e-7
860 23.43052307748896 0.02717653523951733 0.0009917007809697774 0.0024863813761979436 4.757305660518796e-14 -1.3038767006021135e-7
870 23.702355786467077 0.02717624634787573 0.001004143670482911 0.002670541815909644 4.8183679268731794e-14 -1.3551617237617455e-7
880 23.974196299521825 0.027184107556695605 0.0010155045413782655 0.0028482656300448106 4.85722573273506e-14 -1.58337067829117e-7
890 24.246044602630096 0.027192041994977944 0.0010272341566029627 0.002807768108816777 4.912736883966318e-14 -1.79517987822014e-7
900 24.51789194714762 0.027191612166127588 0.001036835569441949 0.0025115830252377958 4.9682480351975755e-14 -1.70893798403203e-7
910 24.78973353040096 0.02718265797059652 0.0010474064603785674 0.0027178723293872498 5.040412531798211e-14 -1.4576569151045985e-7
920 25.061570919172173 0.02717627427258776 0.0010582433157310753 0.002727819559552369 5.079270337660091e-14 -1.288299995498653e-7
930 25.333413001691795 0.02717849473689326 0.0010705732766755696 0.002881556711088251 5.1458837191376006e-14 -1.402019786534564e-7
940 25.605262820623334 0.02718714147281181 0.0010824311322197413 0.0030631666492523246 5.1958437552457326e-14 -1.6703580634457038e-7
950 25.877118855137347 0.02719373662851605 0.0010931410170261226 0.0028519047383818164 5.2458037913538647e-14 -1.7960654914803985e-7
960 26.14897229072185 0.0271904915595719 0.0011033198903912355 0.002782616793762571 5.3013149425851225e-14 -1.6603264011069917e-7
970 26.42081900665363 0.027181175761920882 0.0011132649961952854 0.002810465520539873 5.35682609381638e-14 -1.381509694125399e-7
980 26.69266442059015 0.02717659480185719 0.0011251342583784604 0.0029352725974525207 5.4289905904170155e-14 -1.2980374491282712e-7
990 26.964514519382213 0.02718096983189926 0.0011368014583007012 0.0030376398001065175 5.467848396278896e-14 -1.4606055125282002e-7
1000 27.236374273019347 0.027190208658901368 0.00114900855228743 0.0032060197371306387 5.523359547510154e-14 -1.73091923353979e-7
1010 27.508236533029358 0.02719457925703882 0.0011590350480820864 0.0028180999139882923 5.573319583618286e-14 -1.7780983189085928e-7
1020 27.780095512157924 0.027189106475980693 0.001169335167534542 0.002983304755391658 5.639932965095795e-14 -1.5798903544314916e-7
1030 28.05194753814248 0.027179913337874707 0.001179599708285187 0.0029358350041482906 5.689893001203927e-14 -1.329800065603864e-7
1040 28.32380022202199 0.027177603851580488 0.001191668710922615 0.003095583172738725 5.750955267558311e-14 -1.3161562988995082e-7
1050 28.595659394499794 0.027183679506884877 0.0012037979953972802 0.003316364153024276 5.795364188543317e-14 -1.547059687613539e-7
1060 28.867526756708493 0.0271928415232663 0.0012151199865817145 0.0033182056794006654 5.856426454897701e-14 -1.7695756842214257e-7
1070 29.139396236438103 0.027194736457076794 0.0012254404949205578 0.002863134947851509 5.911937606128959e-14 -1.755658972208591e-7
1080 29.41125864278141 0.027187145558990693 0.0012351094414814285 0.0031568624446826066 5.950795411990839e-14 -1.493890546769988e-7
1090 29.68311738565419 0.027179197298513515 0.0012463831069468234 0.003099168724589263 6.017408793468348e-14 -1.3036001158444124e-7
1100 29.954976658112656 0.02717900251536444 0.0012580048069674888 0.0032770209223560443 6.072919944699606e-14 -1.3514237556504643e-7
1110 30.226845006278918 0.027186921247931692 0.0012705374362092098 0.0035450375423921043 6.128431095930864e-14 -1.6267692659797614e-7
1120 30.498719392367924 0.02719481509453846 0.0012810865694357606 0.0033567025218443902 6.17284001691587e-14 -1.7867945997795693e-7
1130 30.77059397656272 0.027194265271306715 0.001291396719719794 0.0031274827726182064 6.245004513516506e-14 -1.6935850170052562e-7
1140 31.042461255507266 0.027184965175385243 0.001301235793462198 0.0032714452448032727 6.317169010117141e-14 -1.4175783290647784e-7
1150 31.31432515737036 0.027178878856365628 0.0013128708875483756 0.0033406895632112077 6.34492458573277e-14 -1.2860241746688594e-7
1160 31.586193070345693 0.027180974934072583 0.001325007076256079 0.003490609489839258 6.417089082333405e-14 -1.4257273983110663e-7
1170 31.85806876054961 0.027190017678732387 0.0013368180760325822 0.0036792651805536147 6.467049118441537e-14 -1.6897954842328642e-7
1180 32.12995066979044 0.027196360325956074 0.0013474675004949634 0.003318641008746903 6.517009154549669e-14 -1.7998300771581362e-7
1190 32.40182869698603 0.02719292912610366 0.0013570983095466034 0.003357571952243954 6.578071420904053e-14 -1.613459237204823e-7
1200 32.6737009735231 0.027183514726532097 0.0013678483371780301 0.00339600354341274 6.628031457012185e-14 -1.3666502947286968e-7
1210 32.945570364241235 0.027178977501357515 0.0013792123103477465 0.0035299896879796844 6.677991493120317e-14 -1.2893871020390044e-7
1220 33.217445983474455 0.027183579004276412 0.0013918403608682212 0.0037362024756500967 6.7390537594747e-14 -1.505103022894557e-7
1230 33.48932965859638 0.027192831671621454 0.001402878998507631 0.003793089581589748 6.80566714095221e-14 -1.7361664144495068e-7
1240 33.76121689064407 0.02719716730777743 0.0014134146538328004 0.0032802986554792968 6.866729407306593e-14 -1.767662746910586e-7
1250 34.03309910586721 0.027191036770392203 0.0014230440549109602 0.0035682766250310083 6.9111383282916e-14 -1.533221160715193e-7
1260 34.3049750015103 0.027182189094044112 0.0014342238288796052 0.003466289128769673 6.966649479522857e-14 -1.3165183729377944e-7
1270 34.57685128555085 0.027179810249283006 0.0014461316110481314 0.003675959383812488 7.038813976123492e-14 -1.3349193180717256e-7
1280 34.8487337047761 0.02718639206092801 0.0014582378743332207 0.003971638555450796 7.122080702970379e-14 -1.5753949528850407e-7
1290 35.12062495016676 0.02719542072714473 0.0014692713013493117 0.003843102872366111 7.144285163462882e-14 -1.782103715846993e-7
1300 35.39251646251335 0.02719701546448512 0.0014790961577070523 0.0035322810695997964 7.183142969324763e-14 -1.712323039800706e-7
1310 35.66440223550613 0.027188945228942076 0.0014894793019233894 0.0037849967030136877 7.216449660063518e-14 -1.4689080063672727e-7
1320 35.936282354190226 0.02718112241760081 0.0015004842777157704 0.003720952394461463 7.299716386910404e-14 -1.286005651761376e-7
1330 36.208164923053396 0.027181360539188397 0.001512970307978979 0.003926384772894753 7.34412530789541e-14 -1.3952299947587348e-7
1340 36.48005497877926 0.027189396735552783 0.0015243828849014435 0.004135898216003908 7.416289804496046e-14 -1.6408689542703192e-7
1350 36.75195188627892 0.027197427268446997 0.0015352718823379628 0.0038658043885962945 7.438494264988549e-14 -1.7876449320722125e-7
1360 37.023847626651836 0.027196053236764193 0.0015449188245689614 0.0038070150634678113 7.549516567451064e-14 -1.6452842854841944e-7
1370 37.2957359031187 0.027186881113705322 0.001555706198619951 0.0038934638085178497 7.593925488436071e-14 -1.3964455700490354e-7
1380 37.5676212454681 0.02718069157866954 0.0015672347569683739 0.003949532243209375 7.649436639667329e-14 -1.2935505488802235e-7
1390 37.83950956700214 0.027183330454465485 0.0015794208839786357 0.0041072429159152435 7.69939667577546e-14 -1.4571469775657448e-7
1400 38.111407388145665 0.027192587046672274 0.0015908086726357594 0.004264988837385575 7.743805596760467e-14 -1.7120473823293648e-7
1410 38.38330892871919 0.027198615712991377 0.00160098398193563 0.003798917634585286 7.810418978237976e-14 -1.7666650559133856e-7
1420 38.65520781131195 0.02719461271999249 0.0016111987114354883 0.0040159702113305995 7.854827899222983e-14 -1.5841031720999904e-7
1430 38.927098959827354 0.027185012314112095 0.0016218284119808547 0.003919839927343904 7.932543510946743e-14 -1.336706455593835e-7
1440 39.19898880281841 0.027180926195934305 0.0016339997102630748 0.004110026635104069 7.97695243193175e-14 -1.3242664929491845e-7
1450 39.47088395903299 0.0271857291474298 0.0016456171291258335 0.004370416477044725 8.021361352916756e-14 -1.5241754305027333e-7
1460 39.742787565477556 0.02719542185376303 0.0016568854963135721 0.004366528226120381 8.104628079763643e-14 -1.7517737371450237e-7
1470 40.01469439673192 0.027199051591017823 0.0016667319517211863 0.003904025645666054 8.12128142513302e-14 -1.7257771969440392e-7
1480 40.28659447899763 0.027192429500924455 0.0016772681222682784 0.004234373057129592 8.193445921733655e-14 -1.5052633848123935e-7
1490 40.55848961754147 0.027183604442836625 0.0016883685067028413 0.0040806133090925956 8.254508188088039e-14 -1.3081967877547063e-7
1500 40.830383574694864 0.027181681827482884 0.0017004254088618014 0.004342951334266432 8.276712648580542e-14 -1.361703003138612e-7
1510 41.10228576954706 0.027188803784111787 0.001712059342484298 0.004616457769967219 8.365530490550555e-14 -1.6064819033150143e-7
1520 41.37419461003618 0.027197681357327055 0.0017226575587361557 0.004397624269995015 8.426592756904938e-14 -1.7664273659588614e-7
1530 41.64610465957566 0.027198730652393078 0.0017329013882495452 0.0041823587743541335 8.504308368628699e-14 -1.6854283672700088e-7
1540 41.918007156819705 0.02718990144885628 0.0017432398539679245 0.004369752413967198 8.58202398035246e-14 -1.4288749051007448e-7
