#timestep time dt l2_rho l2_rho_v1 l2_rho_v2 l2_rho_e_total linf_rho linf_rho_v1 linf_rho_v2 linf_rho_e_total cons_rho cons_rho_v1 cons_rho_v2 cons_rho_e_total dsdu_ut 
0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -5.303311764598804e-6
10 0.17818957654593615 0.030964485422806762 0.015901995097388752 0.028118569210722765 0.028118569210722724 0.08723568887155882 0.058737137411836615 0.11312232400136302 0.11312232400136235 0.3896957273542214 7.573926419368604e-8 2.783549202245439e-7 2.783549248874806e-7 1.5176845833408947e-6 0.004698367437065023
20 0.7327915437307811 0.07157791630481333 0.024594922429581688 0.06137256648810328 0.0613725664881032 0.17719477550180027 0.14005641741398978 0.26826119307001206 0.2682611930700134 0.7990245889606848 1.0615769285848842e-7 6.406386496848882e-7 6.406386456880853e-7 3.2544258292688255e-6 0.02109151452880145
30 1.5117189831438727 0.0865961712813808 0.11193274772003083 0.08464944774641006 0.08464944774640998 0.11311837689246024 0.4243018154303142 0.5141626846653629 0.5141626846653611 0.6859779962836043 1.425342599503665e-7 1.8895113687023013e-6 1.8895113691463905e-6 8.003931261768571e-6 0.011131078190326939
40 2.361219164128127 0.08417249171333384 0.13963281095370528 0.08713442482908228 0.0871344248290822 0.09679004181988465 0.6077156483508726 0.6118307494213078 0.6118307494213029 0.5877119824279982 1.2928788972743632e-7 1.0121943212482165e-6 1.0121943212482165e-6 5.007382101851476e-6 0.018638594101360043
50 3.1039112772927706 0.0769586933919161 0.13446468461821365 0.10666499344214887 0.10666499344214875 0.17450597867950723 0.9554043255197544 0.7322652537248553 0.7322652537248491 0.825202268182422 4.573884471170686e-8 2.6290701127251737e-7 2.6290701038433895e-7 1.0229956179941269e-6 0.017868887056515893
60 3.8953112746368475 0.07755496091889512 0.18856750342316775 0.13444325561449463 0.1344432556144945 0.10842167908668646 1.59648687078711 0.8293946453050709 0.8293946453050607 0.6879298237900304 4.606871506496191e-8 2.659864466458828e-7 2.6598644597974896e-7 1.0356985482573577e-6 0.0031033129034672776
