#timestep time dt l2_scalar linf_scalar cons_scalar dsdu_ut 
0 0.0 1.0 4.4203823994328764e-18 8.326672684688674e-17 0.0 1.9735721621948294e-17
10 0.1705533521139389 0.018009123068957786 0.0003890606229889427 0.003459298627666141 4.440892098500626e-16 -5.719519660107847e-7
20 0.3818213841800822 0.02373172974376558 0.0003744822240897193 0.003213564389482726 8.326672684688674e-16 -7.247180732212338e-7
30 0.6354844466865311 0.026314082073302686 0.0003757518262917555 0.003299423380694111 1.1102230246251565e-15 -7.147537018732317e-7
40 0.9030676836383438 0.026998444325174335 0.0003802058074960553 0.0034653690766376366 1.942890293094024e-15 -6.558604005952371e-7
50 1.1740029650052952 0.027129584762615636 0.0003856971614168063 0.003279308195030195 2.0539125955565396e-15 -6.450801540768604e-7
60 1.4455839271769462 0.027158668094371955 0.000388269944995257 0.0029785060556984932 2.3314683517128287e-15 -7.109188176895875e-7
70 1.7172907450865418 0.027173446315621592 0.0003876477321317808 0.003107673349031337 2.886579864025407e-15 -7.833574911871206e-7
80 1.9890292813544306 0.027183584092044716 0.0003879661251668318 0.002968619359664304 3.219646771412954e-15 -7.836277342304994e-7
90 2.2607757561010495 0.027182787659539364 0.00039298174208093407 0.0034186983110583435 3.4416913763379853e-15 -7.12461102093942e-7
100 2.5325187731113123 0.02717194429375979 0.00040183216897994643 0.0034642217422240495 4.052314039881821e-15 -6.463194272467859e-7
110 2.8042627789208012 0.027165107048255584 0.0004102890121212297 0.0030626459930752636 4.551914400963142e-15 -6.557481078827096e-7
120 3.0760170284200767 0.027169421971574934 0.0004152660672251469 0.0030370666462729567 4.718447854656915e-15 -7.306138577561895e-7
130 3.34778454672504 0.027180491149207644 0.0004179880769246551 0.003021147242194322 5.329070518200751e-15 -7.902454401522221e-7
140 3.6195625776722284 0.027187575748140038 0.00042258947919055704 0.0032719817732599354 5.773159728050814e-15 -7.700986480400213e-7
150 3.8913397929033207 0.02718326553726933 0.000431603282132472 0.003548481260716496 6.217248937900877e-15 -6.919433776081951e-7
160 4.163113522603316 0.027172621654695958 0.00044327989525205894 0.00338060419152153 6.494804694057166e-15 -6.401812519414162e-7
170 4.434889260557009 0.02716859277198179 0.0004534942012650057 0.0028321091590112757 6.8833827526759706e-15 -6.704079708198113e-7
180 4.706675839511667 0.027175011390332078 0.0004603786568536865 0.003044266112424948 7.438494264988549e-15 -7.497633320503218e-7
190 4.978475573913737 0.027185562617300128 0.0004660123355249855 0.0030194600226768342 7.827072323607354e-15 -7.924595561832398e-7
200 5.250281926176036 0.027190149296285323 0.0004741367830181465 0.0035220177988385393 8.382183835919932e-15 -7.522765692211607e-7
210 5.522087083119157 0.027183486653733296 0.00048606205281776947 0.0035997122170378093 8.826273045769994e-15 -6.726678660534322e-7
220 5.793887974675324 0.027173437946460575 0.000499359383512082 0.0032105424963054796 9.103828801926284e-15 -6.396827716670091e-7
230 6.065694411159977 0.027172421352032933 0.0005105557956095406 0.0029443436554582036 9.43689570931383e-15 -6.887819669370951e-7
240 6.337511667200628 0.02718047339790125 0.0005188988830235779 0.0030006855974513136 9.936496070395151e-15 -7.666511193469422e-7
250 6.609341662024795 0.027190433851271012 0.0005269461740918416 0.0033727372783338705 1.0325074129013956e-14 -7.888717522309963e-7
260 6.881175462303757 0.02719185309528035 0.0005377734103917576 0.003704864073840186 1.0769163338864018e-14 -7.313314365075761e-7
270 7.153006206676945 0.027183489921659466 0.0005515748469673328 0.0035642223430263353 1.1268763699945339e-14 -6.564105778883706e-7
280 7.424835186676741 0.027174889749401798 0.0005656505980711218 0.0029525798817122695 1.1712852909795402e-14 -6.451944095115653e-7
290 7.6966703793079265 0.02717659600847844 0.0005773529579623821 0.0029977083471634525 1.2212453270876722e-14 -7.096290828480928e-7
300 7.968518695384349 0.027186006636338033 0.000586855518546112 0.0030902063578924777 1.2434497875801753e-14 -7.796820656781797e-7
310 8.240376630539682 0.02719444915925134 0.0005968743894638574 0.003675687309707687 1.2712053631958042e-14 -7.792158302695777e-7
320 8.512237527130551 0.027193109298025937 0.0006096527929802985 0.003808044877021022 1.3433698597964394e-14 -7.087252267543899e-7
330 8.784093002151966 0.0271831930830781 0.000624568192032564 0.0034355387733275844 1.3822276656583199e-14 -6.447830747010599e-7
340 9.055949672499986 0.027177119570563527 0.0006389166636167162 0.002895385466399447 1.3933298959045715e-14 -6.566707501484736e-7
350 9.32781413057862 0.027181124719552082 0.0006508784852473208 0.002992394425314626 1.4488410471358293e-14 -7.312741159993391e-7
360 9.599691696383617 0.02719148173967361 0.0006613811030453439 0.003493105469879021 1.4932499681208355e-14 -7.873628425462964e-7
370 9.871577670357116 0.02719766242290377 0.0006730082185739097 0.0039131790505453345 1.5376588891058418e-14 -7.63830184850574e-7
380 10.143463106462267 0.02719357017587833 0.0006871630137416553 0.0038204886235170266 1.5709655798445965e-14 -6.86302967890811e-7
390 10.415344781188178 0.02718309220111585 0.0007026570761191373 0.003209643996691547 1.6042722705833512e-14 -6.391340000924672e-7
400 10.68722797023374 0.0271798034876669 0.0007169715314435262 0.002988619074586918 1.6486811915683575e-14 -6.73464560155615e-7
410 10.959122519474935 0.027186306628602722 0.0007291130404552985 0.0031457667313764537 1.7208456881689926e-14 -7.517355365359101e-7
420 11.231028041886525 0.027196493022613188 0.0007405265240222501 0.003851010960081447 1.73749903353837e-14 -7.885400513389553e-7
430 11.502940836395561 0.027200313310940128 0.0007534835296209952 0.0040703312499562605 1.7819079545233762e-14 -7.436884029430376e-7
440 11.774850312967194 0.027193359149771647 0.0007685991928118767 0.0037330525421086502 1.8041124150158794e-14 -6.66129423431631e-7
450 12.046757228806708 0.027183926335864122 0.0007842496343329677 0.002899324553264082 1.8707257964933888e-14 -6.403713357824688e-7
460 12.318668382712945 0.027183115080410693 0.0007983798293000465 0.003016210007637521 1.892930256985892e-14 -6.942952969868181e-7
470 12.590591092991874 0.027191658946859914 0.0008107170209734904 0.0036012782887899775 1.9595436384634013e-14 -7.688955413892584e-7
480 12.8625256057413 0.027201017513546383 0.0008229921487426531 0.0041465086015388675 1.9817480989559044e-14 -7.825934576381858e-7
490 13.13446276877622 0.027201886327065536 0.0008370319173747348 0.004133297323658636 2.0095036745715333e-14 -7.203906733046045e-7
500 13.406397039454736 0.027193009528011583 0.0008527215324481555 0.0035391756825736698 2.0650148258027912e-14 -6.502942030243986e-7
510 13.678328659238394 0.027185199653735618 0.0008682968921105418 0.003028325142366839 2.1038726316646716e-14 -6.487781977976628e-7
520 13.950268133767228 0.027187368835110057 0.0008822015057719959 0.0031602902748871786 2.1593837828959295e-14 -7.172846568659841e-7
530 14.222218890229659 0.02719698108814298 0.0008947993216079425 0.004018359540947203 2.1926904736346842e-14 -7.807448142115297e-7
540 14.49418026039438 0.027204936231932403 0.0009078943201280671 0.0043620032267656095 2.225997164373439e-14 -7.696074166660839e-7
550 14.766141988779928 0.027202518743031555 0.0009227462481262448 0.004090024343391896 2.2648549702353193e-14 -6.960692213260535e-7
560 15.038099458055619 0.0271925290873724 0.0009387540095087406 0.0032356450150662353 2.3037127760971998e-14 -6.406624937497375e-7
570 15.310057377651718 0.027187187291476348 0.0009540970042413961 0.0030847034942895757 2.353672812205332e-14 -6.638795167226118e-7
580 15.582024154487337 0.027192127267356512 0.0009678139099753006 0.003672531954911018 2.3925306180672123e-14 -7.400885774378613e-7
590 15.854003372377559 0.027202286799389647 0.0009807524017149344 0.0043772317467540844 2.4313884239290928e-14 -7.856291746206396e-7
600 16.12598974694784 0.027207844521444403 0.000994620387506668 0.004480628754145455 2.4591439995447217e-14 -7.504741813284752e-7
610 16.397975181096637 0.027202449927120315 0.0010100987961284662 0.003931142254806952 2.5146551507759796e-14 -6.732243191358289e-7
620 16.66995582087377 0.027192457783601028 0.0010261573869905726 0.0031229663551698428 2.5479618415147343e-14 -6.385957727356867e-7
630 16.941940178345458 0.027190070346705786 0.0010411896023923895 0.003118983676078546 2.5868196473766147e-14 -6.843711682767591e-7
