#timestep time dt l2_rho l2_rho_v1 l2_rho_v2 l2_rho_e_total linf_rho linf_rho_v1 linf_rho_v2 linf_rho_e_total cons_rho cons_rho_v1 cons_rho_v2 cons_rho_e_total dsdu_ut 
140 4.247757641185387 0.029909191886923037 3.476028857237972e-5 2.5531374050592214e-5 2.5531374050267763e-5 2.131022247593985e-5 0.0001871221505798104 0.00010289438169541754 0.00010289437452959405 0.00016429221338398747 4.463096558993129e-14 4.3298697960381105e-14 4.463096558993129e-14 1.376676550535194e-13 1.4843746344061106e-7
150 4.547162769511919 0.02985748234557153 3.8312805717657566e-5 2.7898342212543482e-5 2.7898342211944884e-5 2.290579364259187e-5 0.00018564098675399876 0.00010368211546607498 0.00010368210820299595 0.00019384078075024291 4.729550084903167e-14 4.951594689828198e-14 5.240252676230739e-14 1.5631940186722204e-13 -1.591068202237022e-7
160 4.8465874523627175 0.02981025102455311 4.0113519561212054e-5 2.9026810074311632e-5 2.902681007341239e-5 2.2288955460370443e-5 0.0001821097770564606 0.0001111755112819246 0.00011117476714783692 0.000203421855250685 4.951594689828198e-14 4.884981308350689e-14 4.929390229335695e-14 1.5720758028692217e-13 2.1223392504748677e-8
170 5.146032019496352 0.02977010296296403 3.996123976599938e-5 2.883163290764071e-5 2.8831632906404598e-5 2.0105100195266483e-5 0.00019847243795201308 0.00010801555208050928 0.00010801554065631436 0.0002142208151019176 4.574118861455645e-14 5.284661597215745e-14 5.262457136723242e-14 1.7497114868092467e-13 1.253337775460003e-7
180 5.445495443294005 0.02973931497463744 3.8772039248814025e-5 2.8070758517058134e-5 2.8070758515419038e-5 1.9988019083616325e-5 0.00020345423735257384 0.0001145666702755399 0.00011456649184893308 0.00019873716624152493 6.061817714453355e-14 4.884981308350689e-14 7.993605777301127e-14 1.6342482922482304e-13 -1.7493838637548232e-7
190 5.7449734762950015 0.029720284081274174 3.814806362093665e-5 2.786502560749279e-5 2.786502560536216e-5 2.2764170066023998e-5 0.0001980892711084259 0.00011205090407173657 0.00011205097415434295 0.0001662950690621834 6.838973831690964e-14 5.6621374255882984e-14 6.350475700855895e-14 1.6431300764452317e-13 -6.468941089947308e-8
200 6.044460560760404 0.029712353242851212 3.916529193581926e-5 2.8766708262526968e-5 2.876670825979939e-5 2.445970736685717e-5 0.00019423351195468896 0.00011438262446761271 0.00011438273606145799 0.00021318959223570744 5.573319583618286e-14 6.94999613415348e-14 6.794564910705958e-14 1.794120407794253e-13 2.0335976075059546e-7
210 6.343954386464969 0.029715104906854844 4.1792153306480394e-5 3.059356700871254e-5 3.059356700504092e-5 2.329101154320136e-5 0.00018495889880076888 0.00011299325217573042 0.00011299035239531463 0.00023918585189663943 6.994405055138486e-14 7.549516567451064e-14 7.061018436615996e-14 1.9895196601282805e-13 -2.1066120567376573e-8
220 6.643451108992734 0.02972912707624983 4.541440481716687e-5 3.29712471737365e-5 3.297124716862706e-5 2.090831851488179e-5 0.00020069372305320243 0.00010760634365247768 0.00010760641140183935 0.00019591150522568768 8.992806499463768e-14 8.01581023779363e-14 7.593925488436071e-14 1.8474111129762605e-13 -1.1636723407878232e-7
230 6.942945105964465 0.029753585247627765 4.9381161548835744e-5 3.561046395048472e-5 3.5610463943395216e-5 2.0760862600942265e-5 0.00021512891560426795 0.0001137169599743082 0.00011371691193895472 0.00018803627022601077 7.505107646466058e-14 7.549516567451064e-14 7.771561172376096e-14 2.2648549702353193e-13 1.3685038844188093e-7
